Je,PRON,nsubj,SEN:0,cmr-wiki-c001-a1,LIT
viens,VERB,ROOT,SEN:0,cmr-wiki-c001-a1,LIT
de,ADP,mark,SEN:0,cmr-wiki-c001-a1,LIT
réécrire,VERB,xcomp,SEN:0,cmr-wiki-c001-a1,LIT
la,DET,det,SEN:0,cmr-wiki-c001-a1,LIT
page,NOUN,obj,SEN:0,cmr-wiki-c001-a1,LIT
qui,PRON,nsubj,SEN:0,cmr-wiki-c001-a1,LIT
contenait,VERB,acl:relcl,SEN:0,cmr-wiki-c001-a1,LIT
de,DET,det,SEN:0,cmr-wiki-c001-a1,LIT
multiples,ADJ,amod,SEN:0,cmr-wiki-c001-a1,LIT
erreurs,NOUN,obj,SEN:0,cmr-wiki-c001-a1,LIT
.,PUNCT,punct,SEN:0,cmr-wiki-c001-a1,LIT
La,DET,det,SEN:1,cmr-wiki-c001-a1,LIT
nouvelle,ADJ,amod,SEN:1,cmr-wiki-c001-a1,LIT
page,NOUN,nsubj,SEN:1,cmr-wiki-c001-a1,LIT
est,AUX,cop,SEN:1,cmr-wiki-c001-a1,LIT
très,ADV,advmod,SEN:1,cmr-wiki-c001-a1,LIT
incomplète,ADJ,ROOT,SEN:1,cmr-wiki-c001-a1,LIT
.,PUNCT,punct,SEN:1,cmr-wiki-c001-a1,LIT
Il,PRON,nsubj,SEN:2,cmr-wiki-c001-a1,LIT
manque,VERB,dep,SEN:2,cmr-wiki-c001-a1,LIT
notamment,ADV,advmod,SEN:2,cmr-wiki-c001-a1,LIT
:,PUNCT,punct,SEN:2,cmr-wiki-c001-a1,LIT
Les,DET,det,SEN:2,cmr-wiki-c001-a1,LIT
principes,NOUN,ROOT,SEN:2,cmr-wiki-c001-a1,LIT
fondamentaux,ADJ,amod,SEN:2,cmr-wiki-c001-a1,LIT
des,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
tests,NOUN,nmod,SEN:2,cmr-wiki-c001-a1,LIT
(,PUNCT,punct,SEN:2,cmr-wiki-c001-a1,LIT
mesure,NOUN,appos,SEN:2,cmr-wiki-c001-a1,LIT
de,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
l',DET,fixed,SEN:2,cmr-wiki-c001-a1,LIT
intelligence,NOUN,nmod,SEN:2,cmr-wiki-c001-a1,LIT
par,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
ses,DET,det,SEN:2,cmr-wiki-c001-a1,LIT
manifestations,NOUN,nmod,SEN:2,cmr-wiki-c001-a1,LIT
et,CCONJ,cc,SEN:2,cmr-wiki-c001-a1,LIT
non,ADV,advmod,SEN:2,cmr-wiki-c001-a1,LIT
pas,ADV,conj,SEN:2,cmr-wiki-c001-a1,LIT
par,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
ses,DET,det,SEN:2,cmr-wiki-c001-a1,LIT
caractéristiques,NOUN,nmod,SEN:2,cmr-wiki-c001-a1,LIT
),PUNCT,punct,SEN:2,cmr-wiki-c001-a1,LIT
L',DET,det,SEN:2,cmr-wiki-c001-a1,LIT
explication,NOUN,ROOT,SEN:2,cmr-wiki-c001-a1,LIT
des,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
problèmes,NOUN,nmod,SEN:2,cmr-wiki-c001-a1,LIT
posés,VERB,acl,SEN:2,cmr-wiki-c001-a1,LIT
par,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
le,DET,det,SEN:2,cmr-wiki-c001-a1,LIT
passage,NOUN,obl:agent,SEN:2,cmr-wiki-c001-a1,LIT
du,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
QI,NOUN,nmod,SEN:2,cmr-wiki-c001-a1,LIT
en,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
âge,NOUN,obl:mod,SEN:2,cmr-wiki-c001-a1,LIT
mental,ADJ,amod,SEN:2,cmr-wiki-c001-a1,LIT
au,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
QI,NOUN,obl:arg,SEN:2,cmr-wiki-c001-a1,LIT
par,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
rang,NOUN,nmod,SEN:2,cmr-wiki-c001-a1,LIT
(,PUNCT,punct,SEN:2,cmr-wiki-c001-a1,LIT
et,CCONJ,cc,SEN:2,cmr-wiki-c001-a1,LIT
la,DET,det,SEN:2,cmr-wiki-c001-a1,LIT
solution,NOUN,conj,SEN:2,cmr-wiki-c001-a1,LIT
de,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
Cattell,NOUN,nmod,SEN:2,cmr-wiki-c001-a1,LIT
d',ADP,mark,SEN:2,cmr-wiki-c001-a1,LIT
utiliser,VERB,acl,SEN:2,cmr-wiki-c001-a1,LIT
un,DET,det,SEN:2,cmr-wiki-c001-a1,LIT
écart,NOUN,obj,SEN:2,cmr-wiki-c001-a1,LIT
-,NOUN,punct,SEN:2,cmr-wiki-c001-a1,LIT
type,NOUN,ROOT,SEN:2,cmr-wiki-c001-a1,LIT
de,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
48,PRON,nmod,SEN:2,cmr-wiki-c001-a1,LIT
),PUNCT,punct,SEN:2,cmr-wiki-c001-a1,LIT
Les,DET,det,SEN:2,cmr-wiki-c001-a1,LIT
limites,NOUN,ROOT,SEN:2,cmr-wiki-c001-a1,LIT
de,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
la,DET,det,SEN:2,cmr-wiki-c001-a1,LIT
modélisation,NOUN,nmod,SEN:2,cmr-wiki-c001-a1,LIT
par,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
une,DET,det,SEN:2,cmr-wiki-c001-a1,LIT
Loi,NOUN,nmod,SEN:2,cmr-wiki-c001-a1,LIT
Normale,ADJ,amod,SEN:2,cmr-wiki-c001-a1,LIT
L',DET,det,SEN:2,cmr-wiki-c001-a1,LIT
étude,NOUN,ROOT,SEN:2,cmr-wiki-c001-a1,LIT
de,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
la,DET,det,SEN:2,cmr-wiki-c001-a1,LIT
validité,NOUN,nmod,SEN:2,cmr-wiki-c001-a1,LIT
des,ADP,case,SEN:2,cmr-wiki-c001-a1,LIT
tests,NOUN,nmod,SEN:2,cmr-wiki-c001-a1,LIT
(,PUNCT,punct,SEN:2,cmr-wiki-c001-a1,LIT
